id;type;distance;duration;activity_date
1;autour habile;15932.24;11913.29;2026-02-11T09:23:42
2;orange;11656.39;11745.08;2026-02-10T23:31:29
3;en face de assister secours;22074.39;16941.85;2026-02-11T02:46:43
4;descendre beaucoup présidence;10762.16;20766.74;2026-02-10T16:32:13
5;devant;26469.63;1248.74;2026-02-10T12:16:54
6;contenir nonobstant;4567.92;16291.84;2026-02-10T12:29:54
7;à peine intrépide;27668.96;30373.06;2026-02-10T12:34:19
8;tant euh en plus de;12401.05;5623.03;2026-02-10T18:48:08
9;membre titulaire;21365.01;14845.93;2026-02-10T19:57:34
10;maigre trop trembler;7228.54;1902.64;2026-02-11T08:49:00
