id;title;description;date_time;capacity;status
1;timide;plus de peur que;2026-02-11T10:57:55;17043;PLANNED
2;au dépens de novice casser;toc-toc;2026-02-11T06:07:36;6770;COMPLETED
3;super;dessous;2026-02-10T20:35:13;14527;COMPLETED
4;fonctionnaire;pacifique en dehors de vivace;2026-02-11T09:07:42;9837;CANCELLED
5;de manière à ce que aïe entre;insuffisamment pour que pourvu que;2026-02-10T23:04:53;20915;COMPLETED
6;commissionnaire;présidence prou vouh;2026-02-11T03:25:27;1630;COMPLETED
7;électorat;corps enseignant;2026-02-10T11:59:26;1938;PLANNED
8;au point que conseil d’administration après que;patientèle;2026-02-11T08:54:26;14845;PLANNED
9;afin que chez;chez changer par rapport à;2026-02-11T08:00:40;31977;PLANNED
10;proche de suivant patientèle;prestataire de services ronron;2026-02-11T10:20:29;12737;COMPLETED
